contract,support,size_bin,rows,images,o2o_defined_rows,o2m_defined_rows,o2o_fragility_weighted,o2m_top1_fragility_weighted,o2o_minus_o2m_on_support
fixed_1px,o2o_natural,all,7265,298,7265,7263,0.21150474694434018,0.6798451340297197,-0.4683403870853795
fixed_1px,o2o_natural,t_8_16,6273,296,6273,6271,0.23269570145065605,0.6762512414396622,-0.44355553998900615
fixed_1px,o2o_natural,s_16_32,992,142,992,992,0.07764366406267403,0.7025401364866432,-0.6248964724239692
fixed_1px,o2m_natural,all,7322,298,7263,7322,0.2112873581588688,0.680782778277182,-0.46949542011831324
fixed_1px,o2m_natural,t_8_16,6330,296,6271,6330,0.23245065535753032,0.6773694289740805,-0.4449187736165502
fixed_1px,o2m_natural,s_16_32,992,142,992,992,0.07764366406267403,0.7025401364866432,-0.6248964724239692
fixed_1px,state_common_runner_free,all,7263,298,7263,7263,0.2112873581588688,0.6798451340297197,-0.4685577758708509
fixed_1px,state_common_runner_free,t_8_16,6271,296,6271,6271,0.23245065535753032,0.6762512414396622,-0.4438005860821319
fixed_1px,state_common_runner_free,s_16_32,992,142,992,992,0.07764366406267403,0.7025401364866432,-0.6248964724239692
fixed_1px,competition_defined_common,all,6378,288,6378,6378,0.1990618538798644,0.7152028576266372,-0.5161410037467727
fixed_1px,competition_defined_common,t_8_16,5387,286,5387,5387,0.22140592263000472,0.717404046922947,-0.4959981242929423
fixed_1px,competition_defined_common,s_16_32,991,142,991,991,0.07772203579822969,0.703249264404016,-0.6255272286057864
equivalent_area_k00625,o2o_natural,all,7263,298,7263,7261,0.09898806442779733,0.5634437215587188,-0.46445565713092146
equivalent_area_k00625,o2o_natural,t_8_16,6271,296,6271,6269,0.10045192253131366,0.5334233721070526,-0.43297144957573896
equivalent_area_k00625,o2o_natural,s_16_32,992,142,992,992,0.08974397534516868,0.7529581001637042,-0.6632141248185356
equivalent_area_k00625,o2m_natural,all,7320,298,7261,7320,0.09887747461983121,0.5640896542355461,-0.4652121796157149
equivalent_area_k00625,o2m_natural,t_8_16,6328,296,6269,6328,0.1003242822022438,0.5344501178691856,-0.4341258356669418
equivalent_area_k00625,o2m_natural,s_16_32,992,142,992,992,0.08974397534516868,0.7529581001637042,-0.6632141248185356
equivalent_area_k00625,state_common_runner_free,all,7261,298,7261,7261,0.09887747461983121,0.5634437215587188,-0.4645662469388876
equivalent_area_k00625,state_common_runner_free,t_8_16,6269,296,6269,6269,0.1003242822022438,0.5334233721070526,-0.4330990899048088
equivalent_area_k00625,state_common_runner_free,s_16_32,992,142,992,992,0.08974397534516868,0.7529581001637042,-0.6632141248185356
equivalent_area_k00625,competition_defined_common,all,6377,288,6377,6377,0.09094157452084643,0.6063919953203886,-0.5154504207995422
equivalent_area_k00625,competition_defined_common,t_8_16,5386,286,5386,5386,0.09114546297399193,0.5792576460094709,-0.488112183035479
equivalent_area_k00625,competition_defined_common,s_16_32,991,142,991,991,0.08983456085769405,0.7537181188184509,-0.6638835579607568
