size_group,estimand,tau,n_base_defined,n_base_undefined_excluded,weighted_n,estimate,ci_low,ci_high
all,o2o,0.0625,29048,676,1280354.6065217394,0.06112767301285843,0.06095833999013036,0.06128518434300174
all,o2m_legacy,0.0625,29276,448,1290385.2652173918,0.05527089926189148,0.05471281753710567,0.05577800669345177
all,o2m_pre_topk,0.0625,29276,448,1290385.2652173918,0.05527089926189148,0.05471281753710567,0.05577800669345177
all,o2m_assigned_positive,0.0625,28996,728,1278063.039130435,0.05531886228476958,0.05473758191372117,0.05585389878988438
t_8_16,o2o,0.0625,25084,676,1105472.7500000002,0.06105095713631575,0.060884314337457904,0.06121946099950939
t_8_16,o2m_legacy,0.0625,25312,448,1115503.4086956524,0.05594433878520695,0.0554857651030375,0.05637757529888887
t_8_16,o2m_pre_topk,0.0625,25312,448,1115503.4086956524,0.05594433878520695,0.0554857651030375,0.05637757529888887
t_8_16,o2m_assigned_positive,0.0625,25032,728,1103181.182608696,0.05600255303190756,0.05551452007171259,0.0564708323901741
s_16_32,o2o,0.0625,3964,0,174881.85652173916,0.06161334847474084,0.06119961035449989,0.061941205931209324
s_16_32,o2m_legacy,0.0625,3964,0,174881.85652173916,0.0509679228501233,0.04946236307084437,0.0526104871080804
s_16_32,o2m_pre_topk,0.0625,3964,0,174881.85652173916,0.0509679228501233,0.04946236307084437,0.0526104871080804
s_16_32,o2m_assigned_positive,0.0625,3964,0,174881.85652173916,0.05099863259015935,0.04949285068973468,0.052622327974389864
