size_group,contrast,tau,estimate,ci_low,ci_high
all,o2o_minus_o2m_legacy,0.25,0.05693818585474131,0.05253508008611031,0.06107588806362195
all,o2o_minus_o2m_pre_topk,0.25,0.05693818585474131,0.05253508008611031,0.06107588806362195
all,o2o_minus_o2m_assigned_positive,0.25,0.05672912261092766,0.05219744344769966,0.06092916571498005
t_8_16,o2o_minus_o2m_legacy,0.25,0.05154688255336762,0.047348668045419304,0.0553468924667564
t_8_16,o2o_minus_o2m_pre_topk,0.25,0.05154688255336762,0.047348668045419304,0.0553468924667564
t_8_16,o2o_minus_o2m_assigned_positive,0.25,0.05129003076769156,0.0469619750539769,0.055183900981954484
s_16_32,o2o_minus_o2m_legacy,0.25,0.09136600196570877,0.08396345007292864,0.09819108348660986
s_16_32,o2o_minus_o2m_pre_topk,0.25,0.09136600196570877,0.08396345007292864,0.09819108348660986
s_16_32,o2o_minus_o2m_assigned_positive,0.25,0.09113952266014105,0.08355548397596177,0.09804404973283523
