size_group,estimand,tau,n_base_defined,n_base_undefined_excluded,weighted_n,estimate,ci_low,ci_high
all,o2o,0.25,29048,676,1280354.6065217394,0.22677924907446798,0.2249105922570164,0.22843878246150595
all,o2m_legacy,0.25,29276,448,1290385.2652173918,0.16984106321972667,0.1663623788422875,0.173305023737044
all,o2m_pre_topk,0.25,29276,448,1290385.2652173918,0.16984106321972667,0.1663623788422875,0.173305023737044
all,o2m_assigned_positive,0.25,28996,728,1278063.039130435,0.1700501264635403,0.1665144836204878,0.17360261161516682
t_8_16,o2o,0.25,25084,676,1105472.7500000002,0.22590870938315888,0.22424608099060747,0.22746440082130545
t_8_16,o2m_legacy,0.25,25312,448,1115503.4086956524,0.17436182682979126,0.1711489942824978,0.17758032488347658
t_8_16,o2m_pre_topk,0.25,25312,448,1115503.4086956524,0.17436182682979126,0.1711489942824978,0.17758032488347658
t_8_16,o2m_assigned_positive,0.25,25032,728,1103181.182608696,0.17461867861546732,0.17129584576208298,0.17794826586503873
s_16_32,o2o,0.25,3964,0,174881.85652173916,0.232297140570753,0.22751687662470552,0.23646755486165688
s_16_32,o2m_legacy,0.25,3964,0,174881.85652173916,0.14093113860504425,0.13476620049026158,0.1475412357605832
s_16_32,o2m_pre_topk,0.25,3964,0,174881.85652173916,0.14093113860504425,0.13476620049026158,0.1475412357605832
s_16_32,o2m_assigned_positive,0.25,3964,0,174881.85652173916,0.14115761791061196,0.1349293683129782,0.14792567944509438
