size_bin,raw_n,raw_valid_n,weighted_n,weighted_valid_n,weighted_invalid_rate,weighted_fragility_rate_valid,weighted_fn_rate_valid,weighted_fn_rate_all,weighted_margin_mean_valid,weighted_margin_median_valid,small_valid_cell
all,7434,6386,327665.42173913517,281497.6423913228,0.14089914981803597,0.22416080278315403,0.10009333385759957,0.10480641294930655,0.8567580797247919,0.971490175475067,False
s_16_32,992,991,43764.59456521691,43720.4641304343,0.0010083592735412594,0.09589082338742623,0.15039718615501588,0.15125389103118317,0.8575874499607827,0.9763912617331933,False
t_8_16,6442,5395,283900.8271739255,237777.1782608891,0.16246394690769883,0.2477460058467965,0.09084388533576127,0.09764632445268195,0.8566055821137147,0.9708008569835399,False
