class_id,class_name,size_bin,raw_n,raw_valid_n,weighted_n,weighted_valid_n,weighted_invalid_rate,weighted_fragility_rate_valid,weighted_fn_rate_valid,weighted_fn_rate_all,weighted_margin_mean_valid,weighted_margin_median_valid,small_valid_cell
0,airplane,s_16_32,2,2,88.26086956521739,88.26086956521739,0.0,0.0,1.0,1.0,0.6077247552121076,0.4973479478108258,True
0,airplane,t_8_16,13,8,570.2125,350.90000000000003,0.3846153846153846,0.25,0.0,0.15384615384615385,0.9091834495301158,0.9247657156898154,True
1,bridge,s_16_32,4,4,176.52173913043478,176.52173913043478,0.0,0.25,0.0,0.0,0.6579747647878346,0.784654709740892,True
1,bridge,t_8_16,15,14,659.2771739130436,615.1467391304349,0.0669376045900072,0.35739174993594663,0.3565206251601332,0.33265598852498207,0.6903223050781185,0.7000057505081323,True
2,storage-tank,s_16_32,10,10,441.30434782608694,441.30434782608694,0.0,0.0,0.2,0.2,0.9039281323130406,0.9719952323121765,True
2,storage-tank,t_8_16,14,11,617.2902173913045,484.8989130434782,0.21447173568911837,0.1820191120067607,0.1820191120067607,0.14298115712607873,0.925026646180206,0.9598492184534512,True
3,ship,s_16_32,93,93,4091.869565217385,4091.869565217385,0.0,0.05392453752404027,0.09706416754327249,0.09706416754327249,0.8648082939681815,0.9668572698898317,True
3,ship,t_8_16,348,304,15313.71793478251,13380.820652173845,0.12621998725851002,0.22684366129165245,0.049370428391382705,0.05461343784510343,0.8288842884458232,0.9407025409056192,False
4,swimming-pool,s_16_32,1,1,44.130434782608695,44.130434782608695,0.0,0.0,1.0,1.0,0.9414244958159343,0.9414244958159343,True
4,swimming-pool,t_8_16,1,1,44.130434782608695,44.130434782608695,0.0,0.0,1.0,1.0,0.9923535421892038,0.9923535421892038,True
5,vehicle,s_16_32,810,809,35745.11630434745,35700.98586956484,0.0012345864091436454,0.07787508730044508,0.16193073708505246,0.16296540600696835,0.8734446751133411,0.9813479658817259,False
5,vehicle,t_8_16,5834,4861,257128.73641306427,214259.218478276,0.16672394743900032,0.2404058501242205,0.08909138763097511,0.095992767114891,0.8640824728708332,0.97376203425389,False
6,person,s_16_32,71,71,3133.2608695652148,3133.2608695652148,0.0,0.3521126760563382,0.04225352112676058,0.04225352112676058,0.6812123252171802,0.7429039942756112,True
6,person,t_8_16,197,177,8687.265217391314,7805.7282608695805,0.10147462227318171,0.457598029317934,0.1412712514638776,0.15227361790446883,0.7265903885034682,0.8693746037788949,False
7,wind-mill,s_16_32,1,1,44.130434782608695,44.130434782608695,0.0,1.0,1.0,1.0,0.6333186637116359,0.6333186637116359,True
7,wind-mill,t_8_16,20,19,880.1972826086952,836.3347826086953,0.04983257829426824,0.4736167646615409,0.47457786823458475,0.5007610077533262,0.6515146089266217,0.7164563366299135,True
