size_group,estimand,tau,n_base_defined,n_base_undefined_excluded,weighted_n,estimate,ci_low,ci_high
all,o2o,0.2,29048,676,1280354.6065217394,0.18612852501008423,0.18487584803573034,0.18723403335007313
all,o2m_legacy,0.2,29276,448,1290385.2652173918,0.14471807790666177,0.14195722487113763,0.14745252353135135
all,o2m_pre_topk,0.2,29276,448,1290385.2652173918,0.14471807790666177,0.14195722487113763,0.14745252353135135
all,o2m_assigned_positive,0.2,28996,728,1278063.039130435,0.14482759275574092,0.14200359124317788,0.14765368122573977
t_8_16,o2o,0.2,25084,676,1105472.7500000002,0.18555567949583707,0.18444785589330934,0.18660428576482618
t_8_16,o2m_legacy,0.2,25312,448,1115503.4086956524,0.14821140911145247,0.1456607714921554,0.15069322421793022
t_8_16,o2m_pre_topk,0.2,25312,448,1115503.4086956524,0.14821140911145247,0.1456607714921554,0.15069322421793022
t_8_16,o2m_assigned_positive,0.2,25032,728,1103181.182608696,0.14835984733846622,0.14574731782540792,0.15097276166370163
s_16_32,o2o,0.2,3964,0,174881.85652173916,0.189758817226323,0.18644659760489102,0.1925351197873699
s_16_32,o2m_legacy,0.2,3964,0,174881.85652173916,0.12238093453853963,0.11703278152695426,0.12823653882249078
s_16_32,o2m_pre_topk,0.2,3964,0,174881.85652173916,0.12238093453853963,0.11703278152695426,0.12823653882249078
s_16_32,o2m_assigned_positive,0.2,3964,0,174881.85652173916,0.12249118245671513,0.11714645392172734,0.12837796779382335
