size_group,contrast,tau,estimate,ci_low,ci_high
all,o2o_minus_o2m_legacy,0.2,0.041410447103422454,0.03818889147808199,0.044538625788206956
all,o2o_minus_o2m_pre_topk,0.2,0.041410447103422454,0.03818889147808199,0.044538625788206956
all,o2o_minus_o2m_assigned_positive,0.2,0.04130093225434331,0.037977416562278786,0.044476153554580816
t_8_16,o2o_minus_o2m_legacy,0.2,0.03734427038438459,0.03427263721159108,0.04019243675202184
t_8_16,o2o_minus_o2m_pre_topk,0.2,0.03734427038438459,0.03427263721159108,0.04019243675202184
t_8_16,o2o_minus_o2m_assigned_positive,0.2,0.03719583215737085,0.03397600820321327,0.04011427659633498
s_16_32,o2o_minus_o2m_legacy,0.2,0.06737788268778339,0.06132943281845934,0.07280945368683533
s_16_32,o2o_minus_o2m_pre_topk,0.2,0.06737788268778339,0.06132943281845934,0.07280945368683533
s_16_32,o2o_minus_o2m_assigned_positive,0.2,0.06726763476960788,0.0611747153954086,0.07273177305282294
