name,bytes,sha256,role,evidence_status,checkpoint_epoch,configured_epochs,publication_status,media_type,staging_method
yolo26s_aitodv2_seed0_best_epoch280.pt,60231446,4b57787f7351c77dfe6c85e64b30206245207722b7ed86cae0c741b1f06828fa,primary seed-0 discovery checkpoint,discovery,280,300,approved for v3.0.0 release,application/octet-stream,hardlink
yolo26s_aitodv2_seed1_best_epoch280.pt,60231446,d9432d90e9b7c024456a4bca94da8e5e805b03beeedb6158052792e3e755b549,protocol-matched additional seed checkpoint,not used for a primary manuscript estimate,280,300,approved for v3.0.0 release,application/octet-stream,hardlink
yolo26s_aitodv2_seed2_best_epoch280.pt,60231446,d83f86f570393d9e573d9c93900322bc4e8fca687a40233a108e97832d8e15f6,multiseed sensitivity checkpoint,sensitivity/replication,280,300,approved for v3.0.0 release,application/octet-stream,hardlink
yolo26s_aitodv2_seed3_best_epoch280.pt,60231446,28fee07d38f6914a4e0d74b574f2f4318314f42e02b1160de495b2082af60ff2,multiseed sensitivity checkpoint,sensitivity/replication,280,300,approved for v3.0.0 release,application/octet-stream,hardlink
boundary_full_grid_1024_o2m_rank_set_radius_curve.csv,1411448003,3622652665b30f727258aa0528436e33ab402255e29935dcc8168a32ea5f6b33,"complete 1/1024 rank-set curve; 7,593,288 rows",active v3 dense-grid source,n/a,n/a,approved for v3.0.0 release,text/csv,hardlink
