size_bin,raw_n,raw_valid_n,weighted_invalid_rank_margin_rate,weighted_rank_fragility_rate_valid,weighted_set_instability_valid,weighted_post_nms_fn_rate_valid
all,7434,6421,0.1361934782174702,0.7311509351094364,0.1178529960070321,0.09344934944291111
s_16_32,992,992,0.0,0.7166632884975248,0.09760046259470816,0.13915357974869022
t_8_16,6442,5429,0.15718831791537735,0.7338007988890289,0.12155728671571106,0.08508981475052356
