image_id,gt_id,class_id,direction,size_bin,width,height,area,stratum,sampling_weight,scan_limit,scan_limit_reason,scan_limit_float32_guard_pixels,o2o_base_active,o2o_base_runner,o2o_base_margin,rho_R_base_q_active,rho_R_base_q_runner,rho_R_base_q_gap,o2m_legacy_base,o2m_pre_topk_base,o2m_assigned_positive_base,o2m_positive_count_base,o2o_event_observed,o2o_radius,o2o_right_censored,o2o_censor_radius,o2o_censor_reason,o2o_bracket_low,o2o_bracket_high,o2m_legacy_event_observed,o2m_legacy_radius,o2m_legacy_right_censored,o2m_legacy_censor_radius,o2m_legacy_censor_reason,o2m_legacy_bracket_low,o2m_legacy_bracket_high,o2m_pre_topk_event_observed,o2m_pre_topk_radius,o2m_pre_topk_right_censored,o2m_pre_topk_censor_radius,o2m_pre_topk_censor_reason,o2m_pre_topk_bracket_low,o2m_pre_topk_bracket_high,o2m_assigned_positive_event_observed,o2m_assigned_positive_radius,o2m_assigned_positive_right_censored,o2m_assigned_positive_censor_radius,o2m_assigned_positive_censor_reason,o2m_assigned_positive_bracket_low,o2m_assigned_positive_bracket_high,rho_R_event_observed,rho_R_radius,rho_R_right_censored,rho_R_competing_censored,rho_R_censor_radius,rho_R_censor_reason,rho_R_bracket_low,rho_R_bracket_high,o2o_event_active,o2o_first_divergence
860__1200_2417,75,5,right,t_8_16,10.0,16.0,160.0,t_and_s,44.130434782608695,0.25,rmax,0.0,7309,7409,0.9852512829295832,0.3006318509578705,0.004433934111148119,0.29619791684672236,7309,7309,7309,3,0,,1,0.25,rmax,,,1,0.005859375,0,,,0.0048828125,0.005859375,1,0.005859375,0,,,0.0048828125,0.005859375,1,0.005859375,0,,,0.0048828125,0.005859375,0,,1,0,0.25,rmax,,,,right_censored
860__1200_2417,75,5,up,t_8_16,10.0,16.0,160.0,t_and_s,44.130434782608695,0.25,rmax,0.0,7309,7409,0.9852512829295832,0.3006318509578705,0.004433934111148119,0.29619791684672236,7309,7309,7309,3,0,,1,0.25,rmax,,,1,0.11328125,0,,,0.1123046875,0.11328125,1,0.11328125,0,,,0.1123046875,0.11328125,1,0.11328125,0,,,0.1123046875,0.11328125,0,,0,1,0.2373046875,eligibility_boundary,0.236328125,0.2373046875,,right_censored
860__1200_2417,75,5,down,t_8_16,10.0,16.0,160.0,t_and_s,44.130434782608695,0.25,rmax,0.0,7309,7409,0.9852512829295832,0.3006318509578705,0.004433934111148119,0.29619791684672236,7309,7309,7309,3,0,,1,0.25,rmax,,,1,0.046875,0,,,0.0458984375,0.046875,1,0.046875,0,,,0.0458984375,0.046875,1,0.046875,0,,,0.0458984375,0.046875,0,,1,0,0.25,rmax,,,,right_censored
860__1200_2417,76,5,left,t_8_16,12.0,16.0,192.0,t_and_s,44.130434782608695,0.25,rmax,0.0,7211,7210,0.9905856817523336,0.2864951491355896,0.002697156509384513,0.2837979926262051,7211,7211,7211,3,1,0.216796875,0,,,0.2158203125,0.216796875,1,0.216796875,0,,,0.2158203125,0.216796875,1,0.216796875,0,,,0.2158203125,0.216796875,1,0.216796875,0,,,0.2158203125,0.216796875,0,,0,1,0.216796875,eligibility_boundary,0.2158203125,0.216796875,7210,eligibility_boundary
860__1200_2417,76,5,right,t_8_16,12.0,16.0,192.0,t_and_s,44.130434782608695,0.25,rmax,0.0,7211,7210,0.9905856817523336,0.2864951491355896,0.002697156509384513,0.2837979926262051,7211,7211,7211,3,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,0,1,0.072265625,eligibility_boundary,0.0712890625,0.072265625,,right_censored
860__1200_2417,76,5,up,t_8_16,12.0,16.0,192.0,t_and_s,44.130434782608695,0.25,rmax,0.0,7211,7210,0.9905856817523336,0.2864951491355896,0.002697156509384513,0.2837979926262051,7211,7211,7211,3,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0,0.25,rmax,,,,right_censored
860__1200_2417,76,5,down,t_8_16,12.0,16.0,192.0,t_and_s,44.130434782608695,0.25,rmax,0.0,7211,7210,0.9905856817523336,0.2864951491355896,0.002697156509384513,0.2837979926262051,7211,7211,7211,3,0,,1,0.25,rmax,,,1,0.015625,0,,,0.0146484375,0.015625,1,0.015625,0,,,0.0146484375,0.015625,1,0.015625,0,,,0.0146484375,0.015625,0,,1,0,0.25,rmax,,,,right_censored
860__1200_2417,77,5,left,t_8_16,12.0,18.0,216.0,t_and_s,44.130434782608695,0.25,rmax,0.0,7806,7807,0.972986594733261,0.3562696874141693,0.009624057449400425,0.3466456299647689,7906,7906,7906,5,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,0,1,0.068359375,eligibility_boundary,0.0673828125,0.068359375,,right_censored
860__1200_2417,77,5,right,t_8_16,12.0,18.0,216.0,t_and_s,44.130434782608695,0.25,rmax,0.0,7806,7807,0.972986594733261,0.3562696874141693,0.009624057449400425,0.3466456299647689,7906,7906,7906,5,1,0.205078125,0,,,0.2041015625,0.205078125,1,0.005859375,0,,,0.0048828125,0.005859375,1,0.005859375,0,,,0.0048828125,0.005859375,1,0.005859375,0,,,0.0048828125,0.005859375,0,,0,1,0.205078125,eligibility_boundary,0.2041015625,0.205078125,7807,eligibility_boundary
860__1200_2417,77,5,up,t_8_16,12.0,18.0,216.0,t_and_s,44.130434782608695,0.25,rmax,0.0,7806,7807,0.972986594733261,0.3562696874141693,0.009624057449400425,0.3466456299647689,7906,7906,7906,5,0,,1,0.25,rmax,,,1,0.1171875,0,,,0.1162109375,0.1171875,1,0.1171875,0,,,0.1162109375,0.1171875,1,0.1171875,0,,,0.1162109375,0.1171875,0,,1,0,0.25,rmax,,,,right_censored
860__1200_2417,77,5,down,t_8_16,12.0,18.0,216.0,t_and_s,44.130434782608695,0.25,rmax,0.0,7806,7807,0.972986594733261,0.3562696874141693,0.009624057449400425,0.3466456299647689,7906,7906,7906,5,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0,0.25,rmax,,,,right_censored
860__1200_2417,78,5,left,t_8_16,10.0,14.0,140.0,t_and_s,44.130434782608695,0.25,rmax,0.0,7609,7709,0.8001717437690886,0.34052231907844543,0.06804598122835159,0.27247633785009384,11904,11904,11904,3,1,0.169921875,0,,,0.1689453125,0.169921875,1,0.0078125,0,,,0.0068359375,0.0078125,1,0.0078125,0,,,0.0068359375,0.0078125,1,0.0078125,0,,,0.0068359375,0.0078125,0,,0,1,0.169921875,eligibility_boundary,0.1689453125,0.169921875,7708,eligibility_boundary
860__1200_2417,78,5,right,t_8_16,10.0,14.0,140.0,t_and_s,44.130434782608695,0.25,rmax,0.0,7609,7709,0.8001717437690886,0.34052231907844543,0.06804598122835159,0.27247633785009384,11904,11904,11904,3,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0,0.25,rmax,,,,right_censored
