size_group,contrast,tau,estimate,ci_low,ci_high
all,o2o_minus_o2m_legacy,0.05,0.0038826395753836576,0.0035146958911719973,0.0042872501067789896
all,o2o_minus_o2m_pre_topk,0.05,0.0038826395753836576,0.0035146958911719973,0.0042872501067789896
all,o2o_minus_o2m_assigned_positive,0.05,0.0038420327625664982,0.00344739613684581,0.004265285140980816
t_8_16,o2o_minus_o2m_legacy,0.05,0.0033566437084593392,0.0030431630733172444,0.003689742935231739
t_8_16,o2o_minus_o2m_pre_topk,0.05,0.0033566437084593392,0.0030431630733172444,0.003689742935231739
t_8_16,o2o_minus_o2m_assigned_positive,0.05,0.003307880852777542,0.0029659368518524607,0.00366006859896938
s_16_32,o2o_minus_o2m_legacy,0.05,0.00723948219321343,0.006089243193990753,0.008313149407240664
s_16_32,o2o_minus_o2m_pre_topk,0.05,0.00723948219321343,0.006089243193990753,0.008313149407240664
s_16_32,o2o_minus_o2m_assigned_positive,0.05,0.0072177905966430145,0.006070550302894599,0.008296056164748995
