size_group,estimand,radius,metric,n_base_defined,estimate,ci_low,ci_high
s_16_32,o2m_legacy,0.03125,endpoint_changed_rate,3945,0.1979231308326758,0.16829831826591762,0.22623102657158595
s_16_32,o2m_legacy,0.03125,ever_and_endpoint_changed_rate,3945,0.1979231308326758,0.16829831826591762,0.22623102657158595
s_16_32,o2m_legacy,0.03125,returned_to_base_after_boundary_rate,3945,0.0025355997581512483,0.0009168743028269835,0.004520061987435163
s_16_32,o2m_legacy,0.03125,endpoint_changed_without_recorded_boundary_rate,3945,0.0,0.0,0.0
s_16_32,o2m_pre_topk,0.03125,ever_boundary_rate,3945,0.20045873059082706,0.1698970864903709,0.22950563988007572
s_16_32,o2m_pre_topk,0.03125,endpoint_changed_rate,3945,0.1979231308326758,0.16829831826591762,0.22623102657158595
s_16_32,o2m_pre_topk,0.03125,ever_and_endpoint_changed_rate,3945,0.1979231308326758,0.16829831826591762,0.22623102657158595
s_16_32,o2m_pre_topk,0.03125,returned_to_base_after_boundary_rate,3945,0.0025355997581512483,0.0009168743028269835,0.004520061987435163
s_16_32,o2m_pre_topk,0.03125,endpoint_changed_without_recorded_boundary_rate,3945,0.0,0.0,0.0
s_16_32,o2m_assigned_positive,0.03125,ever_boundary_rate,3945,0.19995161063919675,0.16964647227452412,0.2289125091007263
s_16_32,o2m_assigned_positive,0.03125,endpoint_changed_rate,3945,0.19741601088104554,0.16795201774920943,0.22567121044429367
s_16_32,o2m_assigned_positive,0.03125,ever_and_endpoint_changed_rate,3945,0.19741601088104554,0.16795201774920943,0.22567121044429367
s_16_32,o2m_assigned_positive,0.03125,returned_to_base_after_boundary_rate,3945,0.0025355997581512483,0.0009168743028269835,0.004520061987435163
s_16_32,o2m_assigned_positive,0.03125,endpoint_changed_without_recorded_boundary_rate,3945,0.0,0.0,0.0
