size_group,estimand,tau,n_base_defined,n_base_undefined_excluded,weighted_n,estimate,ci_low,ci_high
all,o2o,0.05,29048,676,1280354.6065217394,0.0490232685152445,0.0489025703877684,0.04913700505197832
all,o2m_legacy,0.05,29276,448,1290385.2652173918,0.045140628939860844,0.044751153228035814,0.04549123878771395
all,o2m_pre_topk,0.05,29276,448,1290385.2652173918,0.045140628939860844,0.044751153228035814,0.04549123878771395
all,o2m_assigned_positive,0.05,28996,728,1278063.039130435,0.045181235752678,0.044773765211527476,0.04555685639087103
t_8_16,o2o,0.05,25084,676,1105472.7500000002,0.04895958848365686,0.04883454621198018,0.04908551069204621
t_8_16,o2m_legacy,0.05,25312,448,1115503.4086956524,0.045602944775197524,0.04528701398647775,0.04590504964526508
t_8_16,o2m_pre_topk,0.05,25312,448,1115503.4086956524,0.045602944775197524,0.04528701398647775,0.04590504964526508
t_8_16,o2m_assigned_positive,0.05,25032,728,1103181.182608696,0.04565170763087932,0.045310524946968696,0.045978577245636615
s_16_32,o2o,0.05,3964,0,174881.85652173916,0.049426437270175066,0.0491502021949599,0.04963935602607766
s_16_32,o2m_legacy,0.05,3964,0,174881.85652173916,0.04218695507696164,0.04107092475660892,0.043371523171337814
s_16_32,o2m_pre_topk,0.05,3964,0,174881.85652173916,0.04218695507696164,0.04107092475660892,0.043371523171337814
s_16_32,o2m_assigned_positive,0.05,3964,0,174881.85652173916,0.04220864667353205,0.041100863076609526,0.043384409807821316
