budget_images,repeats,median_absolute_error_pp,p95_absolute_error_pp,sign_consistency,branch_order_consistency,median_four_rate_spearman,median_bootstrap_ci_width_pp
25,1000,6.385515456090281,18.376908271914694,0.975,0.975,1.0,
50,1000,4.524418255254958,13.62542219104514,0.996,0.996,1.0,
100,1000,3.429682713291919,8.40764203591854,1.0,1.0,1.0,
150,1000,2.454866368549445,6.132471835039276,1.0,1.0,1.0,
200,1000,1.7371239526777105,4.59739779962699,1.0,1.0,1.0,
