dataset,checkpoint_label,batch,seed,valid_margin_gt,valid_margin_images,weighted_invalid_all,weighted_invalid_8_16,weighted_invalid_16_32,fragility_or,fragility_ci_low,fragility_ci_high,fn_or,fn_ci_low,fn_ci_high,bootstrap_flip_ok,bootstrap_fn_ok
AI-TOD-v2,b4_s0_main,4,0,6429,288,0.13511439167257444,0.15578744217095652,0.0010083592735412594,0.002607974596208954,0.001645482787016262,0.003949296097354244,0.1408499421175277,0.09962851992817523,0.20324203278398525,5000,5000
AI-TOD-v2,b8_s0,8,0,6419,288,0.13645875245724381,0.1574944853771535,0.0,0.0029438717283624396,0.002051218107104317,0.004113907875572704,0.14722638953470563,0.10674948186121687,0.21278483270499962,5000,5000
AI-TOD-v2,b8_s1,8,1,6427,288,0.13538130132923942,0.15609549715652282,0.0010083592735412594,0.0026029783963311473,0.0017357531644030895,0.003734997580054457,0.1393310610260082,0.1053319028750715,0.19037623377727297,5000,5000
AI-TOD-v2,b8_s2,8,2,6421,288,0.13618938967524274,0.15718359910590218,0.0,0.002979821197991968,0.0019873407460265016,0.0043808570891133896,0.18047386057233525,0.12079330152911336,0.2670493639806307,5000,5000
AI-TOD-v2,b8_s3,8,3,6420,288,0.13632243564935254,0.15718171158211247,0.0010083592735412594,0.003322565826025088,0.0021627059487346546,0.004751414725999237,0.13964556481957432,0.09858887400291622,0.21072711874440056,5000,5000
VisDrone,b4_s0,4,0,13954,300,0.04109912915730918,0.07240721147066931,0.0017072105021960216,0.0009505471926171393,0.0007137424437201806,0.001234280763126697,0.31431055934191215,0.25841884101654294,0.37640114577527334,5000,5000
VisDrone,b8_s1,8,1,13940,300,0.042058326291927295,0.07450418352348254,0.0012348559826181882,0.0014389405698792654,0.0011030973984830674,0.001862944335314317,0.2445680476229481,0.20415899997444875,0.29178569871890797,5000,5000
VisDrone,b8_s2,8,2,13939,300,0.04212705393265859,0.07376407574013677,0.0023212626658338786,0.0013385642863903923,0.0010317757758852113,0.0017271787885864858,0.22740676965751694,0.19056515813666902,0.26809895607437145,5000,5000
