size_group,estimand,tau,n_base_defined,n_base_undefined_excluded,weighted_n,estimate,ci_low,ci_high
all,o2o,0.1,29048,676,1280354.6065217394,0.09679766377168877,0.09643938117736542,0.09711352173437549
all,o2m_legacy,0.1,29276,448,1290385.2652173918,0.08329858670463809,0.08214460385777317,0.08438255569532571
all,o2m_pre_topk,0.1,29276,448,1290385.2652173918,0.08329858670463809,0.08214460385777317,0.08438255569532571
all,o2m_assigned_positive,0.1,28996,728,1278063.039130435,0.08335719675379655,0.08216029327007304,0.08449723584722955
t_8_16,o2o,0.1,25084,676,1105472.7500000002,0.09666724057815058,0.0963435976867526,0.09699367294962397
t_8_16,o2m_legacy,0.1,25312,448,1115503.4086956524,0.08470132731877467,0.08369207093060503,0.08566460331837927
t_8_16,o2m_pre_topk,0.1,25312,448,1115503.4086956524,0.08470132731877467,0.08369207093060503,0.08566460331837927
t_8_16,o2m_assigned_positive,0.1,25032,728,1103181.182608696,0.08477541138043003,0.08372258134287258,0.08580382462720884
s_16_32,o2o,0.1,3964,0,174881.85652173916,0.09762346361167443,0.0966111014923409,0.09840846206974344
s_16_32,o2m_legacy,0.1,3964,0,174881.85652173916,0.0743324799242612,0.07161924519448055,0.07729068794346126
s_16_32,o2m_pre_topk,0.1,3964,0,174881.85652173916,0.0743324799242612,0.07161924519448055,0.07729068794346126
s_16_32,o2m_assigned_positive,0.1,3964,0,174881.85652173916,0.07439234071437245,0.07169276621263922,0.07733507989231214
