size_group,contrast,tau,estimate,ci_low,ci_high
all,o2o_minus_o2m_legacy,0.1,0.013499077067050683,0.012332065432422776,0.014715128845623463
all,o2o_minus_o2m_pre_topk,0.1,0.013499077067050683,0.012332065432422776,0.014715128845623463
all,o2o_minus_o2m_assigned_positive,0.1,0.013440467017892227,0.012216440590176054,0.014694667870831936
t_8_16,o2o_minus_o2m_legacy,0.1,0.011965913259375918,0.010929013317851724,0.01300192338171126
t_8_16,o2o_minus_o2m_pre_topk,0.1,0.011965913259375918,0.010929013317851724,0.01300192338171126
t_8_16,o2o_minus_o2m_assigned_positive,0.1,0.011891829197720555,0.010779840388502916,0.012978664898486073
s_16_32,o2o_minus_o2m_legacy,0.1,0.023290983687413225,0.020410641177954273,0.02587091956801939
s_16_32,o2o_minus_o2m_pre_topk,0.1,0.023290983687413225,0.020410641177954273,0.02587091956801939
s_16_32,o2o_minus_o2m_assigned_positive,0.1,0.023231122897301976,0.020330403718691797,0.02582095265374629
