size_group,contrast,tau,estimate,ci_low,ci_high
all,o2o_minus_o2m_legacy,0.125,0.019426176100317355,0.017787958581912774,0.021085720424145086
all,o2o_minus_o2m_pre_topk,0.125,0.019426176100317355,0.017787958581912774,0.021085720424145086
all,o2o_minus_o2m_assigned_positive,0.125,0.0193635932258268,0.017658930652606274,0.021062836585287112
t_8_16,o2o_minus_o2m_legacy,0.125,0.017315855426096663,0.015818756745855075,0.018783119452623134
t_8_16,o2o_minus_o2m_pre_topk,0.125,0.017315855426096663,0.015818756745855075,0.018783119452623134
t_8_16,o2o_minus_o2m_assigned_positive,0.125,0.017235578240180932,0.01564864092802687,0.018755789010798884
s_16_32,o2o_minus_o2m_legacy,0.125,0.032903951100413664,0.029145342899775314,0.03620191233150001
s_16_32,o2o_minus_o2m_pre_topk,0.125,0.032903951100413664,0.029145342899775314,0.03620191233150001
s_16_32,o2o_minus_o2m_assigned_positive,0.125,0.032819682614905324,0.029041997633214543,0.036137446362059344
