size_bin,raw_n,raw_valid_n,weighted_n,weighted_valid_n,weighted_invalid_rate,weighted_fragility_rate_valid,weighted_fn_rate_valid,weighted_fn_rate_all,weighted_margin_mean_valid,weighted_margin_median_valid,small_valid_cell
all,7434,6416,327665.42173913517,282819.9478261055,0.13686361433869132,0.20099904974109503,0.0989917317651845,0.10318124146440097,0.872507540982929,0.9680132496371092,False
s_16_32,992,992,43764.59456521691,43764.59456521691,0.0,0.07966038260975647,0.16436256158721904,0.16436256158721904,0.8796829578690097,0.9768378799140714,False
t_8_16,6442,5424,283900.8271739255,239055.35326088945,0.1579617585459253,0.22321289059280772,0.0870240940422544,0.0937498646811989,0.8711939154707949,0.9667533073359729,False
