class_id,class_name,size_bin,raw_n,raw_valid_n,weighted_n,weighted_valid_n,weighted_invalid_rate,weighted_fragility_rate_valid,weighted_fn_rate_valid,weighted_fn_rate_all,weighted_margin_mean_valid,weighted_margin_median_valid,small_valid_cell
0,airplane,s_16_32,2,2,88.26086956521739,88.26086956521739,0.0,0.5,1.0,1.0,0.4763821095623405,0.017584215063053577,True
0,airplane,t_8_16,13,8,570.2125,350.90000000000003,0.3846153846153846,0.6249999999999999,0.6249999999999999,0.7692307692307694,0.6814864544362419,0.811268590433411,True
1,bridge,s_16_32,4,4,176.52173913043478,176.52173913043478,0.0,0.0,0.0,0.0,0.8166253201608876,0.9039167801444834,True
1,bridge,t_8_16,15,14,659.2771739130436,615.1467391304349,0.0669376045900072,0.28565206251601327,0.42826031258006664,0.3995935931149892,0.706040191659827,0.8374896518007444,True
2,storage-tank,s_16_32,10,10,441.30434782608694,441.30434782608694,0.0,0.0,0.2,0.2,0.9162019766010151,0.9943300426012335,True
2,storage-tank,t_8_16,14,12,617.2902173913045,529.0293478260869,0.14298115712607906,0.1668354882917238,0.16632902341655248,0.14254710718480315,0.9180036335163012,0.9791969136943103,True
3,ship,s_16_32,93,93,4091.869565217385,4091.869565217385,0.0,0.08627926003846442,0.1186339825528886,0.1186339825528886,0.8669927237987014,0.9802642665976835,True
3,ship,t_8_16,348,305,15313.71793478251,13424.683152173844,0.1233557252819737,0.17697320765039512,0.07869467569411101,0.08620780153741808,0.8847559415150205,0.9717388836269543,False
4,swimming-pool,s_16_32,1,1,44.130434782608695,44.130434782608695,0.0,0.0,1.0,1.0,0.9625784183245665,0.9625784183245664,True
4,swimming-pool,t_8_16,1,1,44.130434782608695,44.130434782608695,0.0,0.0,1.0,1.0,0.9978701720977865,0.9978701720977866,True
5,vehicle,s_16_32,810,810,35745.11630434745,35745.11630434745,0.0,0.05679097482061018,0.17284209728011796,0.17284209728011796,0.8981698854624133,0.9792285009816164,False
5,vehicle,t_8_16,5834,4892,257128.73641306427,215625.92228262423,0.16140869631843824,0.21560156048935566,0.0844334586425222,0.09032905030073173,0.8780107853093677,0.9682410675386045,False
6,person,s_16_32,71,71,3133.2608695652148,3133.2608695652148,0.0,0.33802816901408467,0.08450704225352117,0.08450704225352117,0.6964903641238852,0.8334799956798994,True
6,person,t_8_16,197,173,8687.265217391314,7629.206521739145,0.12179422052569633,0.4624364748171715,0.11565301822088171,0.13712644595712561,0.7054404907206,0.779563878243785,False
7,wind-mill,s_16_32,1,1,44.130434782608695,44.130434782608695,0.0,0.0,1.0,1.0,0.6995828558322135,0.6995828558322135,True
7,wind-mill,t_8_16,20,19,880.1972826086952,836.3347826086953,0.04983257829426824,0.5785089703000152,0.052446102819237166,0.049832578294268286,0.5727673585347691,0.6950648143180672,True
