image_id,size_bin,sampling_weight,o2o_base_margin,rho_R_event_observed,rho_R_radius
0000126_00054_d_0000124__1200_0,s_16_32,44.130434782608695,0.5451499479633407,1,0.0703125
0000126_00054_d_0000124__1200_0,t_8_16,44.130434782608695,0.1709524394808906,1,0.0830078125
0000126_00054_d_0000124__1200_0,t_8_16,44.130434782608695,0.4853337125541254,1,0.0205078125
0000126_00054_d_0000124__1200_0,t_8_16,44.130434782608695,0.4853337125541254,1,0.248046875
0000126_00054_d_0000124__1200_0,t_8_16,44.130434782608695,0.7249862572263965,1,0.08984375
0000126_00054_d_0000124__1200_0,t_8_16,44.130434782608695,0.5868383500869593,1,0.0458984375
0000126_00054_d_0000124__1200_0,t_8_16,44.130434782608695,0.5868383500869593,1,0.1083984375
0000170_00401_d_0000001__160_0,s_16_32,44.130434782608695,0.243784176852045,1,0.1103515625
0000170_00401_d_0000001__160_0,t_8_16,44.130434782608695,0.3695926655309872,1,0.07421875
0000170_00401_d_0000001__160_0,t_8_16,44.130434782608695,0.3695926655309872,1,0.2109375
0000170_00401_d_0000001__160_0,t_8_16,44.130434782608695,0.4814321134929658,1,0.0361328125
0000170_00401_d_0000001__160_0,t_8_16,44.130434782608695,0.4814321134929658,1,0.072265625
0000170_00401_d_0000001__160_0,t_8_16,44.130434782608695,0.9511129281039468,1,0.1650390625
0000170_00401_d_0000001__160_0,t_8_16,44.130434782608695,0.5799997264740162,1,0.20703125
0000170_00401_d_0000001__160_0,t_8_16,44.130434782608695,0.5175733795113798,1,0.0693359375
0000170_00401_d_0000001__160_0,s_16_32,44.130434782608695,0.3578093531218504,1,0.0244140625
0000170_00401_d_0000001__160_0,s_16_32,44.130434782608695,0.1254100397101803,1,0.0703125
0000170_00401_d_0000001__160_0,s_16_32,44.130434782608695,0.1254100397101803,1,0.029296875
0000170_00401_d_0000001__160_0,t_8_16,44.130434782608695,0.626449127690861,1,0.1787109375
0000170_00401_d_0000001__160_0,s_16_32,44.130434782608695,0.5238319568080672,1,0.2265625
0000170_00401_d_0000001__160_0,s_16_32,44.130434782608695,0.5238319568080672,1,0.0859375
0000170_00401_d_0000001__160_0,s_16_32,44.130434782608695,0.5597914188737321,1,0.0205078125
0000170_00401_d_0000001__160_0,t_8_16,44.130434782608695,0.7661811287213424,1,0.08984375
0000170_00401_d_0000001__160_0,t_8_16,44.130434782608695,0.5240464703077639,1,0.0498046875
0000170_00401_d_0000001__160_0,t_8_16,44.130434782608695,0.6850147374423101,1,0.0703125
0000170_00401_d_0000001__160_0,t_8_16,44.130434782608695,0.8659611868568532,1,0.185546875
0000170_00401_d_0000001__160_0,t_8_16,44.130434782608695,0.9924195836371692,1,0.1650390625
0000170_00401_d_0000001__160_0,s_16_32,44.130434782608695,0.8555879639112081,1,0.18359375
0000170_00401_d_0000001__160_0,s_16_32,44.130434782608695,0.1492526860082961,1,0.015625
0000170_00401_d_0000001__160_0,s_16_32,44.130434782608695,0.1492526860082961,1,0.021484375
0000170_00401_d_0000001__160_0,s_16_32,44.130434782608695,0.6899897386619832,1,0.1416015625
0000170_00401_d_0000001__160_0,s_16_32,44.130434782608695,0.6899897386619832,1,0.0400390625
0000170_00401_d_0000001__160_0,t_8_16,44.130434782608695,0.7987377863296491,1,0.1474609375
0000174_01601_d_0000001__0_0,t_8_16,44.130434782608695,0.8996744290779315,1,0.16796875
0000174_01601_d_0000001__0_0,t_8_16,44.130434782608695,0.2375846186667261,1,0.0087890625
0000174_01601_d_0000001__0_0,t_8_16,44.130434782608695,0.4551004543582191,1,0.0810546875
0000174_01601_d_0000001__0_0,t_8_16,44.130434782608695,0.5856012331733921,1,0.0908203125
0000181_00889_d_0000030__0_0,s_16_32,44.130434782608695,0.0219718243993551,1,0.0224609375
0000181_00889_d_0000030__0_0,s_16_32,44.130434782608695,0.0219718243993551,1,0.0478515625
0000181_00889_d_0000030__0_0,s_16_32,44.130434782608695,0.0219718243993551,1,0.001953125
0000181_00889_d_0000030__0_0,t_8_16,44.130434782608695,0.1744671700898671,1,0.0498046875
0000181_00889_d_0000030__0_0,t_8_16,44.130434782608695,0.1744671700898671,1,0.1005859375
0000181_00889_d_0000030__0_0,t_8_16,44.130434782608695,0.5109512552908259,1,0.05859375
0000181_00889_d_0000030__0_0,t_8_16,44.130434782608695,0.5109512552908259,1,0.09765625
0000181_00889_d_0000030__0_0,t_8_16,44.130434782608695,0.5109512552908259,1,0.1142578125
0000181_00889_d_0000030__0_0,s_16_32,44.130434782608695,0.4470819648112523,1,0.0859375
0000181_00889_d_0000030__0_0,t_8_16,44.130434782608695,0.9944883727733558,1,0.244140625
0000181_00889_d_0000030__0_0,t_8_16,44.130434782608695,0.9305144465037052,1,0.1904296875
0000181_00889_d_0000030__0_0,t_8_16,44.130434782608695,0.5484206853176975,1,0.0634765625
0000181_00889_d_0000030__0_0,t_8_16,44.130434782608695,0.5484206853176975,1,0.111328125
0000181_00889_d_0000030__0_0,t_8_16,44.130434782608695,0.2375776056801005,1,0.015625
0000181_00889_d_0000030__0_0,t_8_16,44.130434782608695,0.9725487445192292,1,0.1298828125
0000243_00001_d_0000001__160_0,t_8_16,44.130434782608695,0.3244151948353687,1,0.0126953125
0000243_00001_d_0000001__160_0,t_8_16,44.130434782608695,0.7983954764383948,1,0.2255859375
0000313_00201_d_0000437__0_0,t_8_16,44.130434782608695,0.9432596452028932,1,0.1328125
0000313_00201_d_0000437__0_0,t_8_16,44.130434782608695,0.8892987802186518,1,0.1396484375
0000313_00201_d_0000437__0_0,s_16_32,44.130434782608695,0.7948714623603523,1,0.056640625
0000313_00201_d_0000437__0_0,s_16_32,44.130434782608695,0.1817213398668696,1,0.01953125
0000313_00201_d_0000437__0_0,s_16_32,44.130434782608695,0.1817213398668696,1,0.015625
