adequate_overlap,ci_high,ci_low,contract,coverage_small,coverage_tiny,crude,crude_ci_high,crude_ci_low,estimate,evidence_id,metric,metric_group,orientation,overlap_ci_high,overlap_ci_low,overlap_crude,panel,positive_count,size,source_orientation,source_path,source_sha256,standardized,std_ci_high,std_ci_low,support_note,weighted_proportion
,-2.824576161000323,-6.455635974945614,Fixed 1 px,,,,,,-4.745788333509038,EV-RANK-SET-FIXED-V1,Exact set equality,set,16-32 minus 8-16,,,,b,,,8-16 minus 16-32; sign and interval endpoints inverted for display,runs/20260831T161235_rank_set_fixed_v1/artifact/rank_set_summary.json,649627210a886208014733f881429f6572f414d306bb051fe52c6ef2758ed4b4,,,,,
,4.89224261330833,3.4969521853940333,Fixed 1 px,,,,,,4.192575670618803,EV-RANK-SET-FIXED-V1,Jaccard,set,16-32 minus 8-16,,,,b,,,8-16 minus 16-32; sign and interval endpoints inverted for display,runs/20260831T161235_rank_set_fixed_v1/artifact/rank_set_summary.json,649627210a886208014733f881429f6572f414d306bb051fe52c6ef2758ed4b4,,,,,
,2.776991363218745,1.7782720122942475,Fixed 1 px,,,,,,2.2577073680154713,EV-RANK-SET-FIXED-V1,Base retention,set,16-32 minus 8-16,,,,b,,,8-16 minus 16-32; sign and interval endpoints inverted for display,runs/20260831T161235_rank_set_fixed_v1/artifact/rank_set_summary.json,649627210a886208014733f881429f6572f414d306bb051fe52c6ef2758ed4b4,,,,,
,5.135067710641438,-0.41694974452409644,Fixed 1 px,,,,,,2.3813881021875707,EV-RANK-SET-FIXED-V1,Assigned-set Top-1 flip,rank,16-32 minus 8-16,,,,b,,,8-16 minus 16-32; sign and interval endpoints inverted for display,runs/20260831T161235_rank_set_fixed_v1/artifact/rank_set_summary.json,649627210a886208014733f881429f6572f414d306bb051fe52c6ef2758ed4b4,,,,,
,14.499485885275892,6.198260849507615,Fixed 1 px,,,,,,10.097727314900585,EV-RANK-SET-FIXED-V1,Rank-only among flips,rank,16-32 minus 8-16,,,,b,,,8-16 minus 16-32; sign and interval endpoints inverted for display,runs/20260831T161235_rank_set_fixed_v1/artifact/rank_set_summary.json,649627210a886208014733f881429f6572f414d306bb051fe52c6ef2758ed4b4,,,,,
,-29.248117925372885,-32.688746432744,Equivalent-area-side,,,,,,-31.043660334040414,EV-RANK-SET-NORMALIZED-V1,Exact set equality,set,16-32 minus 8-16,,,,b,,,8-16 minus 16-32; sign and interval endpoints inverted for display,runs/20260831T162551_rank_set_normalized_v1/artifact/rank_set_summary.json,7f1a83d6b538143dbf1ff38b8deecc7627795298d73733a72abfd4b7e102b11d,,,,,
,-5.180862741823671,-6.6394372560213535,Equivalent-area-side,,,,,,-5.91351651256794,EV-RANK-SET-NORMALIZED-V1,Jaccard,set,16-32 minus 8-16,,,,b,,,8-16 minus 16-32; sign and interval endpoints inverted for display,runs/20260831T162551_rank_set_normalized_v1/artifact/rank_set_summary.json,7f1a83d6b538143dbf1ff38b8deecc7627795298d73733a72abfd4b7e102b11d,,,,,
,-4.544596021174241,-5.311181781316146,Equivalent-area-side,,,,,,-4.93307063601871,EV-RANK-SET-NORMALIZED-V1,Base retention,set,16-32 minus 8-16,,,,b,,,8-16 minus 16-32; sign and interval endpoints inverted for display,runs/20260831T162551_rank_set_normalized_v1/artifact/rank_set_summary.json,7f1a83d6b538143dbf1ff38b8deecc7627795298d73733a72abfd4b7e102b11d,,,,,
,16.019636812430722,9.327815429321426,Equivalent-area-side,,,,,,12.798626085468323,EV-RANK-SET-NORMALIZED-V1,Assigned-set Top-1 flip,rank,16-32 minus 8-16,,,,b,,,8-16 minus 16-32; sign and interval endpoints inverted for display,runs/20260831T162551_rank_set_normalized_v1/artifact/rank_set_summary.json,7f1a83d6b538143dbf1ff38b8deecc7627795298d73733a72abfd4b7e102b11d,,,,,
,-18.388419878325653,-26.327536341087576,Equivalent-area-side,,,,,,-22.49888249640588,EV-RANK-SET-NORMALIZED-V1,Rank-only among flips,rank,16-32 minus 8-16,,,,b,,,8-16 minus 16-32; sign and interval endpoints inverted for display,runs/20260831T162551_rank_set_normalized_v1/artifact/rank_set_summary.json,7f1a83d6b538143dbf1ff38b8deecc7627795298d73733a72abfd4b7e102b11d,,,,,
False,,,,,,,,,,SOURCE_ADDENDUM,,,,,,,c,0,8-16 px,,runs/20260905_o2m_positive_count_scale_controls_v5/artifact/exact_positive_count_strata.csv,8a68539c42a30b5db38ac3ca948f6b862990a885a84b21be335aa99de3c0f365,,,,,0.0014861182098380584
False,,,,,,,,,,SOURCE_ADDENDUM,,,,,,,c,0,16-32 px,,runs/20260905_o2m_positive_count_scale_controls_v5/artifact/exact_positive_count_strata.csv,8a68539c42a30b5db38ac3ca948f6b862990a885a84b21be335aa99de3c0f365,,,,,0.0
False,,,,,,,,,,SOURCE_ADDENDUM,,,,,,,c,1,8-16 px,,runs/20260905_o2m_positive_count_scale_controls_v5/artifact/exact_positive_count_strata.csv,8a68539c42a30b5db38ac3ca948f6b862990a885a84b21be335aa99de3c0f365,,,,,0.025596316301833046
