authority,ci_high,ci_low,directional_trajectories,estimand,estimate,evidence_id,evidence_version,image_n,kind,metric,n_base_defined,n_base_undefined_excluded,panel,radius,series,size_group,size_label,source_path,source_sha256,statistical_unit,support,tau,unit,weighted_n
final_evidence_v3_bound_output,0.9852182632152948,0.9806966573427204,,o2o,0.9829596618190408,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.013671875,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9848703492844816,0.9803118457489428,,o2o,0.9825992180200388,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0146484375,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9843970881531594,0.9797961209409928,,o2o,0.9821195989141602,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.015625,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9840514347458892,0.979258948716589,,o2o,0.9816795428062198,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0166015625,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.983859696548773,0.9789683597757374,,o2o,0.9814394900967496,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.017578125,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.983642183010119,0.9786480653751009,,o2o,0.9811593880762788,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0185546875,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9832696974165328,0.9782404900897448,,o2o,0.9807593812793388,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.01953125,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9827270954302856,0.9776064945283316,,o2o,0.9801591279273972,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0205078125,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9824170786272668,0.9772172323886288,,o2o,0.9797994135979884,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.021484375,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.982144939523778,0.9769312448336088,,o2o,0.9795193115775178,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0224609375,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9818936780068682,0.976600545860686,,o2o,0.9792394527135784,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0234375,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9816588741216168,0.9762149209982964,,o2o,0.9789195445386384,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0244140625,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9813998997392214,0.9759259742806504,,o2o,0.978639685674699,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.025390625,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9811395182429508,0.9756913232568384,,o2o,0.9783998761217596,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0263671875,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9808629244841172,0.9753385236129486,,o2o,0.978080211103351,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.02734375,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9806308568879812,0.975050880530385,,o2o,0.9777998659263492,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0283203125,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.980422835598868,0.9747703655007484,,o2o,0.9775605426864722,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.029296875,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
