checkpoint_file,checkpoint_sha256,ci_high,ci_low,estimate,evidence_id,panel,row,series,source_path,source_sha256,unit,x
epoch40.pt,41019d81a5ddefeb543674a89f1c97a7f2c4fa229a0765faaef41b761724754b,21.349470194719537,8.706721520100533,15.054957844792902,EV-LEARNING-DYNAMICS-V1,c,epoch 40 · Fixed 1 px,Fixed 1 px,results/five_experiment_upgrade_20260830/learning_dynamics/learning_dynamics_trajectory.csv,3cb0c2d4bce8ca85d458a69a063c241457a72244feafa82465bf4ceaf1705aa9,percentage points,40.0
epoch40.pt,41019d81a5ddefeb543674a89f1c97a7f2c4fa229a0765faaef41b761724754b,28.379590956541872,14.378153415928088,21.346738181004056,EV-LEARNING-DYNAMICS-V1,c,epoch 40 · Equivalent-area-side,Equivalent-area-side,results/five_experiment_upgrade_20260830/learning_dynamics/learning_dynamics_trajectory.csv,3cb0c2d4bce8ca85d458a69a063c241457a72244feafa82465bf4ceaf1705aa9,percentage points,40.0
epoch60.pt,4e901f5042b9aae0a6b9fbf2a32f4f60d8448cb553aa1144608398ec77000e0d,20.04549914421808,10.230826890985066,15.090622047077972,EV-LEARNING-DYNAMICS-V1,c,epoch 60 · Fixed 1 px,Fixed 1 px,results/five_experiment_upgrade_20260830/learning_dynamics/learning_dynamics_trajectory.csv,3cb0c2d4bce8ca85d458a69a063c241457a72244feafa82465bf4ceaf1705aa9,percentage points,60.0
epoch60.pt,4e901f5042b9aae0a6b9fbf2a32f4f60d8448cb553aa1144608398ec77000e0d,26.480155205094874,15.654100438182974,21.00411819027143,EV-LEARNING-DYNAMICS-V1,c,epoch 60 · Equivalent-area-side,Equivalent-area-side,results/five_experiment_upgrade_20260830/learning_dynamics/learning_dynamics_trajectory.csv,3cb0c2d4bce8ca85d458a69a063c241457a72244feafa82465bf4ceaf1705aa9,percentage points,60.0
epoch80.pt,80ed8764906560f24f6d8df21b5d70a9def4735c8e76e397175d32324e9b6721,20.118993748408624,8.20679730044006,14.15528540509358,EV-LEARNING-DYNAMICS-V1,c,epoch 80 · Fixed 1 px,Fixed 1 px,results/five_experiment_upgrade_20260830/learning_dynamics/learning_dynamics_trajectory.csv,3cb0c2d4bce8ca85d458a69a063c241457a72244feafa82465bf4ceaf1705aa9,percentage points,80.0
epoch80.pt,80ed8764906560f24f6d8df21b5d70a9def4735c8e76e397175d32324e9b6721,25.026244952891968,13.928628484193183,19.308672151435,EV-LEARNING-DYNAMICS-V1,c,epoch 80 · Equivalent-area-side,Equivalent-area-side,results/five_experiment_upgrade_20260830/learning_dynamics/learning_dynamics_trajectory.csv,3cb0c2d4bce8ca85d458a69a063c241457a72244feafa82465bf4ceaf1705aa9,percentage points,80.0
last.pt,46ff9c348e4eda88d439b776717d2dcfb3c386ea8833dc681e77ea1aa01d349b,18.101393347313724,5.699414111648833,11.838699793747216,EV-LEARNING-DYNAMICS-V1,c,epoch 300 · Fixed 1 px,Fixed 1 px,results/five_experiment_upgrade_20260830/learning_dynamics/learning_dynamics_trajectory.csv,3cb0c2d4bce8ca85d458a69a063c241457a72244feafa82465bf4ceaf1705aa9,percentage points,300.0
last.pt,46ff9c348e4eda88d439b776717d2dcfb3c386ea8833dc681e77ea1aa01d349b,23.37554978933503,11.217705055172535,17.34448432805994,EV-LEARNING-DYNAMICS-V1,c,epoch 300 · Equivalent-area-side,Equivalent-area-side,results/five_experiment_upgrade_20260830/learning_dynamics/learning_dynamics_trajectory.csv,3cb0c2d4bce8ca85d458a69a063c241457a72244feafa82465bf4ceaf1705aa9,percentage points,300.0
,,3.150185944772035,-3.4146662007170687,0.13109021162978768,EV-STRESS-CONTRACT-PRIMARY-V1,d,YOLO26s · O2O,O2O,results/reviewer_controls_20260829/formal_s0e300_k00625/normalized_perturbation_summary.json,5d09278684cf683a8b6227b7e792f162f01f3e65718327b6cf51e0fdc669b37b,percentage points,YOLO26s
,,-11.713930893404896,-22.720688064830775,-17.446047280897993,EV-STRESS-CONTRACT-PRIMARY-V1,d,YOLO26s · O2M,O2M,results/reviewer_controls_20260829/formal_s0e300_k00625/normalized_perturbation_summary.json,5d09278684cf683a8b6227b7e792f162f01f3e65718327b6cf51e0fdc669b37b,percentage points,YOLO26s
,,23.975479643516685,11.063358076453472,17.57713749252778,EV-STRESS-CONTRACT-PRIMARY-V1,d,YOLO26s · Paired,Paired,results/reviewer_controls_20260829/formal_s0e300_k00625/normalized_perturbation_summary.json,5d09278684cf683a8b6227b7e792f162f01f3e65718327b6cf51e0fdc669b37b,percentage points,YOLO26s
,,3.613443095386895,-1.849375537710415,0.9419628603096752,EV-YOLOV10-NORMALIZED-V1,d,YOLOv10-S · O2O,O2O,results/five_experiment_upgrade_20260830/yolov10_normalized_k00625/normalized_perturbation_summary.json,ca344ce4f99d92d4654b65c1c1e97818bf385f9d3a57695bc3e37d6f4af275eb,percentage points,YOLOv10-S
,,-18.900616638040585,-28.180508641615138,-23.50266132229002,EV-YOLOV10-NORMALIZED-V1,d,YOLOv10-S · O2M,O2M,results/five_experiment_upgrade_20260830/yolov10_normalized_k00625/normalized_perturbation_summary.json,ca344ce4f99d92d4654b65c1c1e97818bf385f9d3a57695bc3e37d6f4af275eb,percentage points,YOLOv10-S
,,30.06172568797857,18.88762768658664,24.444624182599696,EV-YOLOV10-NORMALIZED-V1,d,YOLOv10-S · Paired,Paired,results/five_experiment_upgrade_20260830/yolov10_normalized_k00625/normalized_perturbation_summary.json,ca344ce4f99d92d4654b65c1c1e97818bf385f9d3a57695bc3e37d6f4af275eb,percentage points,YOLOv10-S
