name,sha256,role,evidence_status,checkpoint_epoch,configured_epochs,publication_status,bytes,staging_method,media_type,decompressed_sha256
yolo26s_aitodv2_seed0_best_epoch280.pt,4b57787f7351c77dfe6c85e64b30206245207722b7ed86cae0c741b1f06828fa,primary seed-0 discovery checkpoint,discovery,280,300,article-matched v3.2.1 release; frozen asset retained byte-for-byte,60231446,hardlink,application/octet-stream,
yolo26s_aitodv2_seed1_best_epoch280.pt,d9432d90e9b7c024456a4bca94da8e5e805b03beeedb6158052792e3e755b549,protocol-matched additional seed checkpoint,not used for a primary manuscript estimate,280,300,article-matched v3.2.1 release; frozen asset retained byte-for-byte,60231446,hardlink,application/octet-stream,
yolo26s_aitodv2_seed2_best_epoch280.pt,d83f86f570393d9e573d9c93900322bc4e8fca687a40233a108e97832d8e15f6,multiseed sensitivity checkpoint,sensitivity/replication,280,300,article-matched v3.2.1 release; frozen asset retained byte-for-byte,60231446,hardlink,application/octet-stream,
yolo26s_aitodv2_seed3_best_epoch280.pt,28fee07d38f6914a4e0d74b574f2f4318314f42e02b1160de495b2082af60ff2,multiseed sensitivity checkpoint,sensitivity/replication,280,300,article-matched v3.2.1 release; frozen asset retained byte-for-byte,60231446,hardlink,application/octet-stream,
boundary_full_grid_1024_o2m_rank_set_radius_curve.csv.gz,bf0b4268292c156aa1938d1f045fc6db73a27d64228e0b30e13c14d6aa02bb3d,"complete 1/1024 rank-set curve; 7,593,288 rows",active v3 dense-grid source,n/a,n/a,article-matched v3.2.1 release; frozen asset retained byte-for-byte,178521298,hardlink,text/csv,3622652665b30f727258aa0528436e33ab402255e29935dcc8168a32ea5f6b33
