arm,map_50_95,delta_native_pp,delta_matched_pp,ap_vt,ap_t,ap_s,ap_m,precision,recall
Native P3,0.249569,,,0.1049,0.2405,0.3243,0.3981,0.6110,0.5840
Margin commitment,0.249783,0.021,0.131,0.1153,0.2437,0.3250,0.3988,0.5871,0.5859
Random-matched commitment,0.248478,-0.109,,0.1111,0.2387,0.3232,0.4047,0.5996,0.5432
Margin local relaxation,0.249890,0.032,0.179,0.1056,0.2420,0.3213,0.4056,0.5852,0.6016
Score-matched relaxation,0.248103,-0.147,,0.1116,0.2474,0.3126,0.3999,0.6068,0.5926
O2M-evidence Resolver,0.228029,-2.154,,0.1168,0.2182,0.2928,0.3983,0.5178,0.5402

