class_id,class_name,size_bin,raw_n,raw_valid_n,weighted_n,weighted_valid_n,weighted_invalid_rate,weighted_fragility_rate_valid,weighted_fn_rate_valid,weighted_fn_rate_all,weighted_margin_mean_valid,weighted_margin_median_valid,small_valid_cell
0,airplane,s_16_32,2,2,88.26086956521739,88.26086956521739,0.0,0.0,1.0,1.0,0.640048235473382,0.4532937496331213,True
0,airplane,t_8_16,13,8,570.2125,350.90000000000003,0.3846153846153846,0.375,0.625,0.5384615384615385,0.8787745897002746,0.9284791195612319,True
1,bridge,s_16_32,4,4,176.52173913043478,176.52173913043478,0.0,0.0,0.0,0.0,0.8772038732451852,0.9275207457798509,True
1,bridge,t_8_16,15,14,659.2771739130436,615.1467391304349,0.0669376045900072,0.28521650012810656,0.28565206251601327,0.26653119770499634,0.6676046316425517,0.660753866663063,True
2,storage-tank,s_16_32,10,10,441.30434782608694,441.30434782608694,0.0,0.0,0.2,0.2,0.9844541200802699,0.9942343053347473,True
2,storage-tank,t_8_16,14,12,617.2902173913045,529.0293478260869,0.14298115712607906,0.1668354882917238,0.0829112792706906,0.07105652862176377,0.8756009154326979,0.9925034671229088,True
3,ship,s_16_32,93,93,4091.869565217385,4091.869565217385,0.0,0.05392453752404027,0.10784907504808053,0.10784907504808053,0.8766730431468743,0.9695169584962519,True
3,ship,t_8_16,348,305,15313.71793478251,13424.683152173844,0.1233557252819737,0.19659698065094808,0.05905094432436812,0.06610547853141477,0.8736752337662662,0.9734305358678789,False
4,swimming-pool,s_16_32,1,1,44.130434782608695,44.130434782608695,0.0,0.0,1.0,1.0,0.9378719891932054,0.9378719891932054,True
4,swimming-pool,t_8_16,1,1,44.130434782608695,44.130434782608695,0.0,0.0,1.0,1.0,0.9965724977114145,0.9965724977114145,True
5,vehicle,s_16_32,810,809,35745.11630434745,35700.98586956484,0.0012345864091436454,0.0580972873511257,0.16934741206604723,0.17037292446183053,0.9066586937464728,0.9806676119726634,False
5,vehicle,t_8_16,5834,4888,257128.73641306427,215450.20434784156,0.162092081369965,0.21128111424596915,0.08490949194817478,0.09136506914913994,0.880380330677881,0.9698677301414227,False
6,person,s_16_32,71,71,3133.2608695652148,3133.2608695652148,0.0,0.3521126760563382,0.08450704225352117,0.08450704225352117,0.6440884109726951,0.753172201685849,True
6,person,t_8_16,197,173,8687.265217391314,7629.206521739145,0.12179422052569633,0.4913585092757096,0.1387555261744412,0.18275301528324064,0.7050965237913353,0.8228384276361109,False
7,wind-mill,s_16_32,1,1,44.130434782608695,44.130434782608695,0.0,0.0,1.0,1.0,0.7212867064687198,0.7212867064687198,True
7,wind-mill,t_8_16,20,19,880.1972826086952,836.3347826086953,0.04983257829426824,0.6312754409769337,0.052446102819237166,0.049832578294268286,0.612736218544398,0.697976153197708,True
