size_bin,raw_n,raw_valid_n,weighted_n,weighted_valid_n,weighted_invalid_rate,weighted_fragility_rate_valid,weighted_fn_rate_valid,weighted_fn_rate_all,weighted_margin_mean_valid,weighted_margin_median_valid,small_valid_cell
all,7434,6411,327665.42173913517,282600.0994565403,0.13753456816835796,0.19897298876108316,0.09797847639530989,0.10305637257474472,0.874797595673598,0.9692846824348372,False
s_16_32,992,991,43764.59456521691,43720.4641304343,0.0010083592735412594,0.07772203579822969,0.16049095703790284,0.16133748376659537,0.885007485332482,0.9752210846852973,False
t_8_16,6442,5420,283900.8271739255,238879.6353261068,0.15858069980274303,0.2211647002167585,0.08653725553147128,0.09407207609518851,0.872928951182419,0.9679625021201453,False
