dataset,kappa,selected_images,common_valid_gt,contributing_images,o2o_scale_contrast,o2o_scale_contrast_ci_low,o2o_scale_contrast_ci_high,o2m_scale_contrast,o2m_scale_contrast_ci_low,o2m_scale_contrast_ci_high,paired_difference_in_scale_gradients,paired_difference_in_scale_gradients_ci_low,paired_difference_in_scale_gradients_ci_high
AI-TOD-v2,0.03125,300,6376,288,0.01344649806734164,-0.007199407762822624,0.031022230118430152,-0.16846618555827442,-0.22302392508965438,-0.10998630979558495,0.18191268362561605,0.12475386073919739,0.23825956060470693
AI-TOD-v2,0.0625,300,6377,288,0.0013109021162978768,-0.03414666200717069,0.03150185944772035,-0.17446047280897992,-0.22720688064830774,-0.11713930893404896,0.17577137492527778,0.11063358076453472,0.23975479643516684
AI-TOD-v2,0.125,300,6378,288,0.08911156255195948,0.04208455080713801,0.1355333774270181,-0.08361578903883249,-0.1133282738246857,-0.05407869827830493,0.17272735159079197,0.11429514624054084,0.23445637262565855
VisDrone,0.03125,300,13911,300,0.05141120984917501,0.03927153842342318,0.06364446210773463,-0.2964843125195466,-0.31731913765098013,-0.2759029824197536,0.3478955223687216,0.3218905594520383,0.3742348250946421
VisDrone,0.0625,300,13911,300,0.11036525788345006,0.09329353643866616,0.1269596063254966,-0.2621061345339576,-0.2785065615510495,-0.24571722987957417,0.3724713924174077,0.3473121999125469,0.3984662000121432
VisDrone,0.125,300,13911,300,0.19969644259738395,0.1773471284037393,0.22249719217044678,-0.16012585044440464,-0.1716714691365213,-0.14843876981433626,0.3598222930417886,0.33392166815914637,0.3856067052002831
